Data_Set,Chain,Step,b,R_0,omega,rho,sigma
0,0,300050,0.0099621,1.92478,0.0122083,0.0418707,0.115528
0,1,300050,0.00727791,2.7066,0.0141631,0.0382708,0.116725
0,2,300050,0.00794323,1.78492,0.00146757,0.0754655,0.0654144
0,3,300050,0.00573195,2.23434,0.00774193,0.100359,0.00770499
0,4,300050,0.00725421,1.96963,0.0147878,0.252733,0.209224
0,0,300100,0.00938734,2.1223,0.0157978,0.0356125,0.0124604
0,1,300100,0.00627848,2.21553,0.0151323,0.117747,0.136786
0,2,300100,0.00829959,2.2218,0.0247793,0.0679208,0.0106683
0,3,300100,0.00552673,2.4097,0.0124234,0.104604,0.11253
0,4,300100,0.00855089,2.05334,0.0299905,0.179404,0.167062
0,0,300150,0.00898339,1.89246,0.0030979,0.0225611,0.00192098
0,1,300150,0.00627848,2.21553,0.0151323,0.117747,0.136786
0,2,300150,0.00875924,1.98997,0.0104576,0.0683452,0.0786294
0,3,300150,0.00683192,2.03045,0.0247386,0.166607,0.0783422
0,4,300150,0.00855089,2.05334,0.0299905,0.179404,0.167062
0,0,300200,0.00843031,1.74935,0.00485849,0.0554924,0.0119545
0,1,300200,0.00627848,2.21553,0.0151323,0.117747,0.136786
0,2,300200,0.00823657,1.92622,0.0247325,0.129701,0.00958333
0,3,300200,0.00683192,2.03045,0.0247386,0.166607,0.0783422
0,4,300200,0.00848977,1.73276,0.0252562,0.178383,0.131939
0,0,300250,0.00883633,1.65885,0.00127357,0.0081092,0.0480781
0,1,300250,0.00531492,2.4019,0.0380503,0.142826,0.00529555
0,2,300250,0.00912007,1.58283,0.00873536,0.121071,0.00445688
0,3,300250,0.00683192,2.03045,0.0247386,0.166607,0.0783422
0,4,300250,0.00533893,2.70621,0.0116853,0.0643479,0.0159705
0,0,300300,0.00779411,2.00627,0.00340544,0.0233675,0.0342212
0,1,300300,0.00642143,2.32779,0.0344495,0.118949,0.126581
0,2,300300,0.00888995,1.70871,0.0167162,0.110149,0.0583033
0,3,300300,0.00642203,2.08008,0.0158047,0.166919,0.0145341
0,4,300300,0.0064305,2.05027,0.0209022,0.0809808,0.0319196
0,0,300350,0.00779411,2.00627,0.00340544,0.0233675,0.0342212
0,1,300350,0.00679771,2.24718,0.0169299,0.11304,2.24586e-05
0,2,300350,0.00811119,1.62429,0.0001955,0.0275599,0.0555593
0,3,300350,0.00642203,2.08008,0.0158047,0.166919,0.0145341
0,4,300350,0.00800657,1.91097,0.00958776,0.0912054,0.137593
0,0,300400,0.00779411,2.00627,0.00340544,0.0233675,0.0342212
0,1,300400,0.00530982,3.14111,0.0723538,0.148227,0.0561558
0,2,300400,0.00811119,1.62429,0.0001955,0.0275599,0.0555593
0,3,300400,0.00642203,2.08008,0.0158047,0.166919,0.0145341
0,4,300400,0.00800657,1.91097,0.00958776,0.0912054,0.137593
0,0,300450,0.00779411,2.00627,0.00340544,0.0233675,0.0342212
0,1,300450,0.00525656,2.35149,0.0484243,0.266757,0.194875
0,2,300450,0.00811119,1.62429,0.0001955,0.0275599,0.0555593
0,3,300450,0.00642203,2.08008,0.0158047,0.166919,0.0145341
0,4,300450,0.00800657,1.91097,0.00958776,0.0912054,0.137593
0,0,300500,0.00779411,2.00627,0.00340544,0.0233675,0.0342212
0,1,300500,0.0071134,2.15068,0.0369999,0.257825,0.2179
0,2,300500,0.00866194,1.7115,0.00576207,0.114987,0.03931
0,3,300500,0.00484342,2.13669,0.00624859,0.13317,0.0662833
0,4,300500,0.00712881,2.2782,0.0305525,0.0961202,0.107332
0,0,300550,0.00588702,2.61475,0.0255461,0.127954,0.141956
0,1,300550,0.00603543,1.9508,0.0275637,0.215226,0.0826473
0,2,300550,0.00828018,1.75414,0.00594157,0.147923,0.0372775
0,3,300550,0.00738186,1.70482,0.0190609,0.203044,0.0560618
0,4,300550,0.00548996,2.57991,0.0134773,0.0474171,0.033434
0,0,300600,0.00656336,2.51166,0.0404222,0.152723,0.0180388
0,1,300600,0.00653471,2.21017,0.0676031,0.219333,0.0430749
0,2,300600,0.00794272,2.05426,0.0454829,0.201495,0.0717484
0,3,300600,0.0062364,2.2983,0.0457129,0.172972,0.0295511
0,4,300600,0.00628694,1.90197,0.00945199,0.0506692,0.028124
0,0,300650,0.00629137,2.50647,0.0290275,0.133468,0.0976504
0,1,300650,0.00789348,2.07395,0.048079,0.220898,0.00219207
0,2,300650,0.00794272,2.05426,0.0454829,0.201495,0.0717484
0,3,300650,0.00616438,2.28017,0.0362893,0.161167,0.0362553
0,4,300650,0.00677529,2.11251,0.012891,0.104368,0.135587
0,0,300700,0.00657311,1.85703,0.0144502,0.0622048,0.0746244
0,1,300700,0.00740184,1.82975,0.0466179,0.206932,0.0225179
0,2,300700,0.00803225,1.95537,0.040953,0.231911,0.0723628
0,3,300700,0.00739126,1.84944,0.00431171,0.109815,0.141218
0,4,300700,0.00794181,1.71188,0.00423006,0.166111,0.0416015
0,0,300750,0.00440185,2.6847,0.0245909,0.0873134,0.00964422
0,1,300750,0.00613804,2.02224,0.0289438,0.183285,0.0754629
0,2,300750,0.00765983,1.90231,0.0282646,0.235124,0.101434
0,3,300750,0.00745884,2.12056,0.0203785,0.0833895,0.107395
0,4,300750,0.00695219,2.76257,0.0736067,0.163173,0.176224
0,0,300800,0.00440185,2.6847,0.0245909,0.0873134,0.00964422
0,1,300800,0.00544073,2.07294,0.00844307,0.199024,0.0147661
0,2,300800,0.0070254,1.83292,0.0218062,0.23332,0.00572826
0,3,300800,0.00745884,2.12056,0.0203785,0.0833895,0.107395
0,4,300800,0.00865507,1.5533,0.00733128,0.104879,0.0791798
0,0,300850,0.00698541,2.90912,0.0364512,0.0836064,0.0123714
0,1,300850,0.00544073,2.07294,0.00844307,0.199024,0.0147661
0,2,300850,0.0063615,2.19106,0.0238172,0.166429,0.00924742
0,3,300850,0.00682361,2.81808,0.0238523,0.0696236,0.135181
0,4,300850,0.0115741,1.5467,0.0259073,0.100943,0.0499586
0,0,300900,0.00438581,2.89859,0.023578,0.0768915,0.134095
0,1,300900,0.00678855,1.83826,0.0156948,0.174571,0.029348
0,2,300900,0.0063615,2.19106,0.0238172,0.166429,0.00924742
0,3,300900,0.00776344,1.71464,0.0311361,0.2314,0.00235947
0,4,300900,0.00982514,1.66897,0.0141659,0.074588,0.203607
0,0,300950,0.0056244,2.04434,0.00936802,0.0338618,0.137797
0,1,300950,0.00678855,1.83826,0.0156948,0.174571,0.029348
0,2,300950,0.0063615,2.19106,0.0238172,0.166429,0.00924742
