"Animal_ID","Town","Date","Season","MitoGenomeSpecies","Sex","Weight_g","Tail_mm","Body_W_Tail_mm","Body_WO_Tail_mm","Pred_ELW","Pred_Age","TotalReads","CMV1M44_Reads","CMV1M69_Reads","CMV1m128_Reads","CMV2M44_Reads","CMV2M69_Reads","CMV2m128_Reads","CMV3M44_Reads","CMV3M69_Reads","CMV3m128_Reads","CMV1_Binary","CMV2_Binary","CMV3_Binary","CoI_Binary"
"SL00555","Bafodia","2020-03-04","Dry","Mastomys natalensis","Male",85,115,235,120,21.880752620052,136.86152258622,14839528,0,0,0,0,2,0,0,0,0,0,0,0,0
"SL00556","Bafodia","2020-03-04","Dry","Mastomys natalensis","Female",81,87,175,88,12.7908998208236,48.1509791654404,21124856,0,0,0,0,0,0,0,0,0,0,0,0,0
"SL00557","Bafodia","2020-03-04","Dry","Mastomys natalensis","Male",86,74,154,80,10.5184366210165,37.0839564194918,14288910,0,0,0,0,0,0,0,0,0,0,0,0,0
"SL00558","Bafodia","2020-03-04","Dry","Mastomys natalensis","Male",81,110,222,112,19.6082894202449,105.405265418474,12491682,0,0,0,0,0,0,0,0,0,0,0,0,0
"SL00559","Bafodia","2020-03-04","Dry","Mastomys natalensis","Female",82,99,203,104,17.3358262204378,81.1789155051946,12429894,0,0,0,0,0,0,0,0,0,0,0,0,0
"SL00560","Bafodia","2020-03-04","Dry","Mastomys natalensis","Female",60,78,155,77,9.66626292108885,33.6243512769656,14799792,0,0,0,0,0,0,0,0,0,0,0,0,0
"SL00561","Bafodia","2020-03-05","Dry","Mastomys natalensis","Male",86,105,215,110,19.0401736202931,98.7432780998613,156328024,2,0,0,177844,294616,191744,0,0,0,0,1,0,0
"SL00562","Bafodia","2020-03-05","Dry","Mastomys natalensis","Male",80,100,220,120,21.880752620052,136.86152258622,16329166,0,0,0,161510,299580,165734,248,234,166,0,1,1,1
"SL00563","Bafodia","2020-03-05","Dry","Mastomys natalensis","Male",84,80,209,129,24.437273719835,183.602170444192,12719408,0,0,0,1250,2144,1220,6148,10238,8764,0,1,1,1
"SL00564","Bafodia","2020-03-05","Dry","Mastomys natalensis","Male",80,110,221,111,19.324231520269,102.019907059388,15773070,0,2,0,108442,194808,113664,33866,62754,56142,0,1,1,1
"SL00565","Bafodia","2020-03-05","Dry","Mastomys natalensis","Male",84,114,238,124,23.0169842199555,155.951981692527,12776090,0,0,0,768,1290,878,80,0,0,0,1,0,0
"SL00566","Bafodia","2020-03-05","Dry","Mastomys natalensis","Female",80,105,220,115,20.4604631201725,116.250399508568,15906454,0,2,0,0,0,0,0,0,0,0,0,0,0
"SL00567","Bafodia","2020-03-05","Dry","Mastomys natalensis","Male",80,115,234,119,21.5966947200761,132.465866470891,16005938,0,0,0,794,1450,898,0,0,0,0,1,0,0
"SL00585","Bafodia","2020-12-02","Dry","Mastomys natalensis","Male",33,100,202,102,16.767710420486,76.0481195863451,16294352,0,0,0,21426,40340,22358,62,6,0,0,1,0,0
"SL00586","Bafodia","2020-12-02","Dry","Mastomys natalensis","Male",31,90,190,100,16.1995946205342,71.2416082011957,15739060,0,0,0,4394,8394,4538,0,0,0,0,1,0,0
"SL00587","Bafodia","2020-12-02","Dry","Mastomys natalensis","Male",35,101,212,111,19.324231520269,102.019907059388,13963864,0,0,0,398,752,440,30,50,42,0,1,1,1
"SL00588","Bafodia","2020-12-02","Dry","Mastomys natalensis","Male",61,120,255,135,26.1416211196903,223.327449782806,16675276,0,0,0,105168,177070,133428,2332,3978,2852,0,1,1,1
"SL00590","Bafodia","2020-12-02","Dry","Mastomys natalensis","Female",3,65,140,75,9.09814712113708,31.4991727964182,12764114,0,0,0,0,6,2,0,0,0,0,0,0,0
"SL00591","Bafodia","2020-12-02","Dry","Mastomys natalensis","Female",41,114,232,118,21.3126368201002,128.211388038808,14483834,0,2,0,86,166,102,0,0,0,0,1,0,0
"SL00592","Bafodia","2020-12-02","Dry","Mastomys natalensis","Female",23,95,186,91,13.6430735207513,53.1052271676181,15273676,0,0,0,0,2,2,0,0,0,0,0,0,0
"SL00593","Bafodia","2020-12-02","Dry","Mastomys natalensis","Female",45,120,235,115,20.4604631201725,116.250399508568,15815154,0,0,0,29498,49722,32338,2792,4710,4886,0,1,1,1
"SL00594","Bafodia","2020-12-02","Dry","Mastomys natalensis","Female",54,103,225,122,22.4488684200038,146.095262294085,13682068,0,0,0,3492,6042,3832,22,40,42,0,1,1,1
"SL00595","Bafodia","2020-12-02","Dry","Mastomys natalensis","Female",51,108,230,122,22.4488684200038,146.095262294085,15670022,0,0,0,1300,2168,1412,4,8,4,0,1,1,1
"SL00596","Bafodia","2020-12-02","Dry","Mastomys natalensis","Female",39,87,170,83,11.3706103209442,40.8995198864956,12486904,0,0,0,90460,148894,92732,0,0,0,0,1,0,0
"SL00597","Bafodia","2020-12-03","Dry","Mastomys natalensis","Male",19,83,172,89,13.0749577207995,49.7487881079739,17881588,0,0,0,0,0,0,0,0,0,0,0,0,0
"SL00598","Bafodia","2020-12-03","Dry","Mastomys natalensis","Male",59,107,250,143,28.4140843194974,289.975407691686,13017550,0,0,2,1866,3302,2046,124,212,156,0,1,1,1
"SL00599","Bafodia","2020-12-03","Dry","Mastomys natalensis","Male",33,101,221,120,21.880752620052,136.86152258622,12129844,0,0,0,108,210,152,0,0,0,0,1,0,0
